"JASID","LGC","Name","Site_no","SiteName","SiteType","Lat","Lon","P","J","Y","K","N","H","M","E","D","U"
11202002800,11202,"熊谷市",28,"瀬戸山遺跡","集落跡 古墳群 窯跡 墓 遺物包含地",NA,36.10816882,1,0,1,1,1,0,1,0,0,139.3764805
11202008900,11202,"熊谷市",89,"下原遺跡","集落跡 墓",NA,36.11149783,1,0,1,1,1,1,1,0,0,139.3645113
11202010100,11202,"熊谷市",101,"北西原遺跡","集落跡",NA,36.12309599,0,0,0,1,1,0,0,0,0,139.3774743
11202400800,11202,"熊谷市",8,"船木遺跡","集落跡 墓",NA,36.07979555,0,1,1,1,1,0,0,0,0,139.4219143
11202401200,11202,"熊谷市",12,"円山遺跡","集落跡",NA,36.07989523,0,1,0,1,1,0,0,0,0,139.4187325
11202401800,11202,"熊谷市",18,"北廓遺跡","集落跡 包含層",NA,36.08858217,1,1,0,1,1,0,0,0,0,139.413048
11202401900,11202,"熊谷市",19,"塚本遺跡","集落跡",NA,36.12089454,0,0,1,1,1,0,0,0,0,139.3806271
11202402000,11202,"熊谷市",20,"西浦遺跡","集落跡",NA,36.11944679,0,0,0,1,1,0,0,0,0,139.378624
11202402100,11202,"熊谷市",21,"腰廻遺跡","集落跡",NA,36.11855259,0,0,0,1,1,0,0,0,0,139.3826829
11202402200,11202,"熊谷市",22,"三分一遺跡","集落跡",NA,36.11476956,0,0,0,1,1,0,0,0,0,139.3811719
11202402300,11202,"熊谷市",23,"西内手遺跡","集落跡",NA,36.11161831,1,1,0,1,1,0,0,0,0,139.3845456
11202402400,11202,"熊谷市",24,"高田遺跡","集落跡",NA,36.11344945,0,0,0,1,1,0,0,0,0,139.3877611
11202402500,11202,"熊谷市",25,"原北遺跡","集落跡 包含層",NA,36.11102211,0,0,0,1,1,0,0,0,0,139.3769549
11202402600,11202,"熊谷市",26,"原南遺跡","集落跡 古墳（円） 円墳",NA,36.10948901,1,0,1,1,1,0,0,0,0,139.3791161
11202402700,11202,"熊谷市",27,"北方遺跡","集落跡",NA,36.11309364,0,0,0,1,1,0,0,0,0,139.3998929
11202402800,11202,"熊谷市",28,"西浦町遺跡","集落跡",NA,36.10870731,0,0,0,1,1,0,0,0,0,139.395834
11202402900,11202,"熊谷市",29,"宮前遺跡","集落跡",NA,36.1104531,0,0,0,1,1,0,0,0,0,139.3995704
11202403000,11202,"熊谷市",30,"宮前町遺跡","集落跡",NA,36.10832377,0,0,0,1,1,0,0,0,0,139.4008355
11202403100,11202,"熊谷市",31,"宮町遺跡","集落跡",NA,36.10329833,0,0,0,1,1,0,0,0,0,139.4001502
11202403200,11202,"熊谷市",32,"中街遺跡","集落跡",NA,36.09896536,0,0,0,1,1,0,0,0,0,139.4051289
11202403300,11202,"熊谷市",33,"旭町遺跡","集落跡",NA,36.10619123,0,0,0,1,1,0,0,0,0,139.4137778
11202403400,11202,"熊谷市",34,"北町遺跡","集落跡",NA,36.10291186,0,0,0,1,1,0,0,0,0,139.4130925
11202403500,11202,"熊谷市",35,"高城町遺跡","集落跡",NA,36.09520269,0,0,0,1,1,0,0,0,0,139.4108786
11202403700,11202,"熊谷市",37,"上吉原遺跡","集落跡",NA,36.09300722,0,0,0,1,1,0,0,0,0,139.4150203
11202403800,11202,"熊谷市",38,"下中遺跡","集落跡",NA,36.09062684,0,0,0,1,1,0,0,0,0,139.4153147
11202403900,11202,"熊谷市",39,"成願遺跡","集落跡 包含層",NA,36.09104781,0,0,1,1,1,0,0,0,0,139.4198171
11202404100,11202,"熊谷市",41,"中廓遺跡","集落跡",NA,36.08560027,0,1,1,1,1,0,0,0,0,139.4152093
11202404200,11202,"熊谷市",42,"賢木岡遺跡","集落跡",NA,36.08417134,0,0,1,1,1,0,0,0,0,139.411638
11202404400,11202,"熊谷市",44,"番場南遺跡","集落跡",NA,36.08176072,0,0,0,1,1,0,0,0,0,139.4110073
11202404600,11202,"熊谷市",46,"桜谷遺跡","集落跡",NA,36.07568035,1,0,0,1,1,0,0,0,0,139.4159994
11202404700,11202,"熊谷市",47,"大林東遺跡","集落跡",NA,36.07504555,0,0,0,1,1,0,0,0,0,139.4172874
11202404800,11202,"熊谷市",48,"桜谷東遺跡","集落跡 古墳群",NA,36.07923508,1,0,0,1,1,0,0,0,0,139.4143971
11202404900,11202,"熊谷市",49,"大林遺跡","集落跡",NA,36.07767636,0,0,0,1,1,0,0,0,0,139.4202865
11202405000,11202,"熊谷市",50,"大境南遺跡","集落跡 古墳群",NA,36.0738461,0,0,1,1,1,0,0,0,0,139.420399
11202405100,11202,"熊谷市",51,"大境遺跡","集落跡 古墳",NA,36.07518801,1,1,1,1,1,0,0,0,0,139.4210091
11202405300,11202,"熊谷市",53,"南谷遺跡","集落跡",NA,36.0722324,0,0,0,1,1,0,0,0,0,139.4239995
11202405400,11202,"熊谷市",54,"南谷北遺跡","集落跡",NA,36.07301957,0,0,0,1,1,0,0,0,0,139.426607
11202406100,11202,"熊谷市",61,"仲町遺跡","集落跡",NA,36.10355387,0,0,0,1,1,0,0,0,0,139.4046308
11202406200,11202,"熊谷市",62,"楓山北遺跡","墓",NA,36.07953977,0,0,0,1,1,0,0,0,0,139.4165963
11202406400,11202,"熊谷市",64,"雷遺跡","集落跡",NA,36.07966293,0,0,0,1,1,0,0,0,0,0
11202406500,11202,"熊谷市",65,"小八林大境遺跡","城館跡",NA,36.07969302,0,0,0,1,1,0,0,0,0,139.436986
11202406600,11202,"熊谷市",66,"前野遺跡","集落跡",NA,36.07791569,0,0,0,1,1,0,0,0,0,139.434944
11202406700,11202,"熊谷市",67,"高畑遺跡","集落跡",NA,36.0897323,0,0,0,1,1,0,0,0,0,139.4238015
11202406900,11202,"熊谷市",69,"下恩田中町遺跡","集落跡",NA,36.10846693,0,0,0,1,1,0,0,0,0,139.3874448
11202500100,11202,"熊谷市",1,"姥ヶ沢遺跡","集落跡 古墳（円）",NA,36.1266084,1,1,1,1,1,0,0,0,0,139.3137242
11202500200,11202,"熊谷市",2,"新田裏遺跡","集落跡 古墳",NA,36.13181308,0,0,1,1,1,0,0,0,0,139.3141092
11202500400,11202,"熊谷市",4,"大林遺跡","集落跡",NA,36.12913751,0,0,1,1,1,0,0,0,0,139.32189
11202500700,11202,"熊谷市",7,"中屋敷遺跡","集落跡 城館跡",NA,36.1296334,0,0,1,1,1,1,1,0,0,139.3283366
11202500900,11202,"熊谷市",9,"権現坂遺跡","集落跡",NA,36.12407922,1,0,0,1,1,0,1,0,0,139.3237933
11202501100,11202,"熊谷市",11,"宮前遺跡","集落跡 墓 寺院跡",NA,NA,0,0,0,1,1,0,1,0,0,0
11202501200,11202,"熊谷市",12,"宿遺跡","集落跡 墓 寺院跡",NA,NA,0,0,0,1,1,1,1,0,0,0
11202501300,11202,"熊谷市",13,"宮下遺跡","集落跡 古墳",NA,36.12497188,1,0,1,1,1,0,0,0,0,139.3272929
11202501400,11202,"熊谷市",14,"天神谷遺跡","集落跡",NA,36.12006443,1,0,0,1,1,0,0,0,0,139.3193145
11202501700,11202,"熊谷市",17,"寺内（廃寺）","集落跡 寺院跡",NA,36.11545194,1,0,0,1,1,0,0,0,0,139.3145255
11202501800,11202,"熊谷市",18,"西遺跡","集落跡",NA,36.11636354,1,0,0,1,1,0,0,0,0,139.321069
11202502500,11202,"熊谷市",25,"静簡院遺跡","集落跡 古墳（円） 城館跡",NA,36.11817119,1,0,0,1,1,1,1,0,0,139.3508274
11202502700,11202,"熊谷市",27,"成沢上原遺跡","集落跡",NA,36.11680541,1,0,1,1,1,0,0,0,0,139.3543673
11202502900,11202,"熊谷市",29,"中原遺跡","集落跡 古墳",NA,36.11657822,0,0,1,1,1,0,0,0,0,139.3614993
11202503200,11202,"熊谷市",32,"鹿島遺跡","集落跡 城館跡",NA,36.10749778,1,1,0,1,1,1,1,0,0,139.3613048
11202503300,11202,"熊谷市",33,"八軒遺跡","集落跡 寺院跡",NA,36.10988816,1,0,0,1,1,1,1,0,0,139.3568138
11202503400,11202,"熊谷市",34,"下新田遺跡","集落跡",NA,36.10688582,0,0,0,1,1,0,0,0,0,139.3680378
11202503500,11202,"熊谷市",35,"荒神脇遺跡","集落跡 古墳群",NA,36.10373426,0,0,1,1,1,0,0,0,0,139.3672998
11202503600,11202,"熊谷市",36,"丸山浦遺跡","集落跡",NA,36.1027121,1,0,1,1,1,1,1,0,0,139.3715169
11202503700,11202,"熊谷市",37,"丸山遺跡","集落跡",NA,36.10113625,0,0,1,1,1,0,0,0,0,139.3718859
11202503800,11202,"熊谷市",38,"熊野遺跡","集落跡 古墳群 墓",NA,36.10139179,0,0,1,1,1,1,1,0,0,139.3664037
11202503900,11202,"熊谷市",39,"元境内遺跡","集落跡 古墳群 経塚 寺院跡 城館跡",NA,36.10319473,1,0,1,1,1,1,1,0,0,139.361824
11202504000,11202,"熊谷市",40,"諏訪脇遺跡","集落跡 古墳群 寺院跡",NA,36.10362063,1,0,1,1,1,1,1,0,0,139.3578179
11202504100,11202,"熊谷市",41,"野原宮脇遺跡","集落跡 古墳群 寺院跡",NA,36.1046441,1,0,1,1,1,1,1,0,0,139.3546042
11202504400,11202,"熊谷市",44,"須賀広宮脇遺跡","集落跡",NA,36.10556026,0,0,1,1,1,0,0,0,0,139.3409507
11202504500,11202,"熊谷市",45,"本田・東台遺跡","集落跡 御嶽塚",NA,36.1057732,1,0,1,1,1,0,1,0,0,139.345484
11202504600,11202,"熊谷市",46,"小江川下原遺跡","集落跡",NA,36.10749751,1,0,1,1,1,0,0,0,0,139.3325702
11202504800,11202,"熊谷市",48,"田中遺跡","集落跡 古墳群",NA,36.10632635,0,0,1,1,1,0,0,0,0,139.3283382
11202504900,11202,"熊谷市",49,"山ノ神遺跡","集落跡",NA,36.10955034,1,0,0,1,1,0,0,0,0,139.3216802
11202505100,11202,"熊谷市",51,"板井中島遺跡","集落跡 城館跡 参道",NA,36.11404317,1,0,0,1,1,1,1,0,0,139.3181356
11202505200,11202,"熊谷市",52,"天神（伊勢）遺跡","集落跡",NA,36.11266078,1,0,0,1,1,1,1,0,0,139.3100686
11202505300,11202,"熊谷市",53,"桜山遺跡","集落跡 古墳",NA,36.11009344,1,0,1,1,1,1,1,0,0,139.3075018
11202505400,11202,"熊谷市",54,"立野遺跡","集落跡 古墳群",NA,36.10801975,1,0,1,1,1,0,0,0,0,139.3078685
11202505500,11202,"熊谷市",55,"岩比田遺跡","集落跡",NA,36.10683476,0,0,1,1,1,0,0,0,0,139.3131854
11202505600,11202,"熊谷市",56,"氷川遺跡","集落跡 古墳群 寺院跡",NA,36.10856287,0,0,1,1,1,1,1,0,0,139.3174022
11202506000,11202,"熊谷市",60,"塩西遺跡","集落跡 古墳群 城館跡",NA,36.10399585,1,0,1,1,1,1,1,0,0,139.3201129
11202506400,11202,"熊谷市",64,"塩丸山遺跡","集落跡 古墳",NA,36.10047805,1,0,1,1,1,1,1,0,0,139.3226848
11202507100,11202,"熊谷市",71,"諏訪木遺跡","集落跡",NA,36.09851079,0,0,1,1,1,0,0,0,0,139.3302825
11202508500,11202,"熊谷市",85,"千代西原遺跡","集落跡",NA,36.12398003,1,0,0,1,1,1,1,0,0,139.3151364
11207000100,11207,"秩父市",1,"","集落跡",36.060669,139.08783,0,1,0,1,0,0,0,0,0,0
11207000300,11207,"秩父市",3,"","集落跡",36.060669,139.08783,0,0,0,1,0,0,0,0,0,0
