"JASID","自治体コード","遺跡番号","遺跡名","種類","所在地","時代","旧市番号","地図","経度","緯度","近世"
14131000100,14131,"川崎区No.1","商工会議所","散布地","川崎区駅前本町11-2","古墳　近世","六郷橋?1",31,139.6993456,35.53167462,1
14131000300,14131,"川崎区No.3","小土呂橋","その他の遺跡","川崎区砂子2丁目（新川通）","近世","—",31,139.7002493,35.5280843,1
14131000400,14131,"川崎区No.4","小田貝塚","貝塚","川崎区小田1丁目","古墳　近世","—",32,139.7003724,35.51470437,1
14131000700,14131,"川崎区No.7","了延庵内","その他の墓","川崎区大島4-23","近世","—",25,139.7158602,35.52282541,1
14131000800,14131,"川崎区No.8","旧東海道川崎宿跡","都市遺跡","川崎区本町1-8-4ほか","近世","—",24,139.7029763,35.53242898,1
14133001400,14133,"中原区No.14","","散布地","中原区宮内4-9ほか","奈良　近世","宮内-1",40,139.6448846,35.58645804,1
14133001800,14133,"中原区No.18","小杉御殿町遺跡・小杉陣屋町遺跡","城館跡","中原区小杉御殿町1丁目ほか","中世　近世","—",34,139.6546049,35.58295396,1
14133002000,14133,"中原区No.20","小杉町遺跡","散布地","中原区小杉町2丁目付近","中世　近世","—",40,139.6567905,35.58065092,1
14134010000,14134,"高津区No.100","子母口植之台遺跡・蓮乗院北遺跡","集落跡","高津区子母口135ほか","縄文　弥生　古墳　中世　近世","千年-1",49,139.6261709,35.57233368,1
14134011600,14134,"高津区No.116","久末表耕地遺跡","散布地","高津区久末2035ほか","中世　近世","久末-13",49,139.6233629,35.56906605,1
14134012300,14134,"高津区No.123","新作キシ遺跡","その他の墓","高津区新作2-11","中世　近世","末長-18",48,139.616302,35.583717,1
14135005600,14135,"多摩区No.56","長沢-17遺跡","散布地","川崎市多摩区長沢4-22","近世","長沢-17",69,139.5360298,35.59751212,1
14137003700,14137,"麻生区No.37","","その他の遺跡","川崎市麻生区五力田247ほか","近世","五力田-6",80,139.4906487,35.60461305,1
14137006800,14137,"麻生区No.68","早野上ノ原遺跡","散布地","川崎市麻生区早野798ほか","旧石器　縄文　弥生　古墳 奈良　平安　中世　近世","早野-7",77,139.5190885,35.57052922,1
14137015200,14137,"麻生区No.152","王禅寺通やぐら遺跡","やぐら","川崎市麻生区王禅寺371","中世　近世","早野-27",76,139.5164087,35.58179237,1
14137015800,14137,"麻生区No.158","黒川明坪遺跡","散布地","川崎市麻生区黒川2120ほか","縄文　近世","別所-2",88,139.4514643,35.61003471,1
